title,subtitle,link
HOT ROD,Star Chelsea agreed to sign for £34.5m makes tiny £13m move elsewhere weeks later,https://www.thesun.co.uk/sport/30071042/chelsea-samu-omorodion-transfer-porto-atletico-madrid/
USE THEM WISELY,Dream Team 2024/25 Boosters explained: Goal Bonus replaces Park the Bus,https://www.thesun.co.uk/sport/football/dream-team/29407708/boosters-explained-goal-bonus-fantasy-football-premier-league/
QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/
CASH PRIZES,Play Last Man Standing with Dream Team this season - learn about our new game,https://www.thesun.co.uk/sport/football/dream-team/29733195/last-man-standing-game-rules-prizes-leagues/
PIE FACED,Watch Leeds fan fall through advertising hoarding while scoffing a pie,https://www.thesun.co.uk/sport/30067566/watch-leeds-fan-pie-fall-through-advertising-board/
WHAT'S THAT FER?,Rio leaves fans baffled as Man Utd icon smells Ten Hag live on TNT Sports,https://www.thesun.co.uk/sport/30066170/rio-ferdinand-smells-ten-hag-live-tnt-man-utd/
SANCH-NO GO,Erik ten Hag explains Jadon Sancho omission from Man Utd squad vs Brighton,https://www.thesun.co.uk/sport/30066404/ten-hag-sancho-issues-omission-man-utd-brighton/
OFF GUARD,Bizarre moment Pep Guardiola walks onto pitch in middle of Man City clash,https://www.thesun.co.uk/sport/30069165/pep-guardiola-man-city-pitch-ipswich-town/
FREE BETS,Free bet offers and bonuses for football from our betting partners,https://www.thesun.co.uk/sport/23342198/best-betting-offers-this-week/
CASE CLOSED,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
SPIN TO WIN,Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/
IT'S PAY DAY!,Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/
MAN UTD NEWS,"United 'AGREE McTominay EXIT', Ugarte UPDATE, Juventus in '£40m Sancho talks'",https://www.thesun.co.uk/sport/29510311/man-utd-transfer-news-live-mctominay-sancho-ugarte-updates/
GUNNERS LATEST,"Mikel Merino COMPLETES Gunners medical, Nico Williams UPDATE",https://www.thesun.co.uk/sport/29952119/arsenal-transfer-news-live-merino-williams-gabriel-jesus-updates/
CANNON BALL,Leicester spark Championship transfer battle as they look to sell £7m striker,https://www.thesun.co.uk/sport/30071579/leicester-city-transfer-tom-cannon-sheffield-united-celtic/
ON MY WHISTLE,Fans ask 'what is this?' as clip reveals what ref sees before Prem game,https://www.thesun.co.uk/sport/30046000/fans-sky-sports-referee-premier-league/
VIEIR-ING OFF,Arsenal outcast Vieira to return to former club as transfer agreement reached,https://www.thesun.co.uk/sport/30070485/arsenal-fabio-vieira-porto-transfer/
MAN DOWN,Broja's move from Chelsea to Ipswich on brink of COLLAPSING after medical,https://www.thesun.co.uk/sport/30067652/armando-broja-transfer-chelsea-ipswich-collapsing-medical/
RAF RETURN,Rafa Benitez reveals 'five or six' offers to return to Premier League,https://www.thesun.co.uk/sport/30044188/rafa-benitez-offers-premier-league-return/
NIC OF TIME,Arsenal weigh up shock Nico Williams move as bargain release clause emerges,https://www.thesun.co.uk/sport/30055486/arsenal-weighing-up-transfer-nico-williams-release-clause/
EL OF A DAY,Love Island star takes fans inside trip to watch Prem ace brother make debut,https://www.thesun.co.uk/sport/30068921/love-island-wil-anderson-trip-brother-premier-league-debut/
SHEAR DROP,Alan Shearer warns Cole Palmer of 'tricky' challenge ahead for Chelsea star,https://www.thesun.co.uk/sport/30070911/alan-shearer-cole-palmer-chelsea-warning/
MAIN MANE,Tottenham fans have Liverpool legend's advice to thank for the Sarr form,https://www.thesun.co.uk/sport/30064232/tottenham-sadio-mane-incredible-advice-pape-matar-sarr/
TROY DEENEY,Chelsea a total circus.. but fans should be scared if crazy model somehow works,https://www.thesun.co.uk/sport/30060333/chelsea-todd-boehly-troy-deeney/
TOP BET,"Premier League title odds: Man City favs, Arsenal, Liverpool, and Man Utd next",https://www.thesun.co.uk/sport/29716581/premier-league-title-odds-prediction-preview/
LAUR THE ONE,Laura Woods looks loved-up with Adam Collard during romantic Ibiza getaway,https://www.thesun.co.uk/sport/30057071/laura-woods-ibiza-adam-collard-dating-pregnant/
LOU-DICROUS,BBC host Emma Louise Jones stuns in low cut dress as she shows off 'new talent',https://www.thesun.co.uk/sport/30025566/bbc-presenter-emma-louise-jones-dress/
HOT ROD,Georgina Rodriguez twerks and shows off shock new look ahead of Netflix series,https://www.thesun.co.uk/sport/30001027/georgina-rodriguez-twerking-video-blonde-hair-cristiano-ronaldo/
CHARLIE WYETT,Average EFL wages show it's not just Premier League that's gone cash crazy,https://www.thesun.co.uk/sport/29968290/championship-league-one-league-two-wages-premier-league/
KARREN BRADY,Lopetegui is a breath of fresh air at West Ham but Moyes was under-appreciated,https://www.thesun.co.uk/sport/29921178/julen-lopetegui-west-ham-karren-brady-moyes/
HARRY REDKNAPP,Maresca has inherited a MESS at Chelsea... it's hard to see him turning tide,https://www.thesun.co.uk/sport/29937584/enzo-maresca-chelsea-harry-redknapp/
